,betaInP,omega,gen,w,dist
0,0.7344871238724328,0.004885615412263212,0,0.002,1084369
0,0.46015146216058833,0.04804425130218466,0,0.002,11589036
0,0.8326491891121032,0.0959715120577431,0,0.002,20864235
0,0.12403638096546388,0.011144671987764887,0,0.002,1992731
0,0.7519006360522361,0.0063509560592274646,0,0.002,1262481
0,0.08093949768100372,0.07178877018801973,0,0.002,16254360
0,0.8073606463300019,0.08146145331719712,0,0.002,18643668
0,0.07151842554255772,0.09578921847923544,0,0.002,19806846
0,0.5755333151234905,0.009139246872702289,0,0.002,1664389
0,0.2327871224890522,0.013353457941089176,0,0.002,2430858
0,0.5915032028204241,0.0015096520358787947,0,0.002,881868
0,0.17862189370006487,0.006621992144346123,0,0.002,1166364
0,0.23786892924713532,0.027317920015856003,0,0.002,6033350
0,0.5364413658623954,0.044507480193614946,0,0.002,10773747
0,0.9450480461049805,0.015305510772597054,0,0.002,3125375
0,0.7681746471604636,0.014793584038571828,0,0.002,2900330
0,0.23916267366191368,0.009637984289696533,0,0.002,1685288
0,0.01771638731165459,0.04443606442210488,0,0.002,10330915
0,0.5164244914607767,0.05675879947579763,0,0.002,13782828
0,0.6230446234342027,0.08623333081025138,0,0.002,18835118
0,0.13773486345953767,0.0747723617384751,0,0.002,17003256
0,0.8414851975062431,0.03718988011337489,0,0.002,9108998
0,0.1944413335138807,0.049243624756285236,0,0.002,11709149
0,0.2175849972199222,0.053297286059976995,0,0.002,12850193
0,0.8301881795291333,0.03637801624394075,0,0.002,8874680
0,0.7053921752372274,0.02364514574276068,0,0.002,5186881
0,0.9550711552738286,0.06807214900991389,0,0.002,16462214
0,0.030113828714594115,0.033403278098176205,0,0.002,7597372
0,0.57063898616518,0.04736348497805768,0,0.002,11611503
0,0.1372035231512041,0.05052882842239845,0,0.002,11954121
0,0.8271207632662183,0.0024458052974870473,0,0.002,880975
0,0.415396877947373,0.01040005569913245,0,0.002,1910194
0,0.6072870496801681,0.0030189871504169965,0,0.002,877325
0,0.9488044100457924,0.06125884972980175,0,0.002,14955164
0,0.6418630012996337,0.04327384616249962,0,0.002,10522524
0,0.13864892053739208,0.07326777892803316,0,0.002,16633554
0,0.8673365709438882,0.08635119038660745,0,0.002,19310658
0,0.6268046343602058,0.06515008913647612,0,0.002,15584982
0,0.7777676250543205,0.0516616194944616,0,0.002,12887125
0,0.9893478127345369,0.006903485980076707,0,0.002,1328886
0,0.8458737358669729,0.05100491234592563,0,0.002,12718829
0,0.080718453482998,0.02944080825306099,0,0.002,6576499
0,0.5502004801445168,0.020019783964407414,0,0.002,4027665
0,0.42411801085431033,0.06631656667795294,0,0.002,15575037
0,0.6443055154382011,0.009957237998394874,0,0.002,1856981
0,0.6969014573508102,0.09147220434465039,0,0.002,20069293
0,0.0928891719353302,0.03829305729347923,0,0.002,8870695
0,0.42197367555036336,0.04800763197369165,0,0.002,11571219
0,0.24643372388459794,0.06040231855425874,0,0.002,14346875
0,0.8495445391704818,0.08654898786633153,0,0.002,19387815
0,0.18673784711513763,0.0935446578649266,0,0.002,19561135
0,0.19941369719178625,0.09297349601012883,0,0.002,19613736
0,0.07686539595524455,0.04801839278540041,0,0.002,11475674
0,0.41429936873613227,0.08581181790389891,0,0.002,18864282
0,0.4115105801802945,0.0025814318247221802,0,0.002,888458
0,0.9525311499912922,0.039122710908502105,0,0.002,9675847
0,0.17516200520311143,0.02214968805858967,0,0.002,4598053
0,0.5639016562056056,0.08475144370314838,0,0.002,18871920
0,0.38519904622167433,0.009391935213616543,0,0.002,1611086
0,0.11601415308828555,0.058271385219455345,0,0.002,13705671
0,0.33331867769907453,0.012351430280853271,0,0.002,2234545
0,0.7863179905290124,0.02526976427954839,0,0.002,5693615
0,0.005835918945281238,0.008005057304752662,0,0.002,1356436
0,0.5729082111190434,0.009496657187860903,0,0.002,1680612
0,0.6492929933593083,0.0007608176941603873,0,0.002,849563
0,0.21148457476629234,0.037283662833076846,0,0.002,8698931
0,0.7168421204543757,0.060589429615427265,0,0.002,14654947
0,0.9486938230983923,0.040739217978742664,0,0.002,9994687
0,0.581672246510754,0.04615478897785467,0,0.002,11191005
0,0.8696894506271146,0.09056684792824365,0,0.002,20049274
0,0.23616941239403988,0.09752297312919478,0,0.002,20096829
0,0.8265192816229046,0.014490915765381807,0,0.002,2825226
0,0.7174643838205828,0.003224535500661141,0,0.002,937950
0,0.5399319391373466,0.08833336040724304,0,0.002,19400712
0,0.761263237072086,0.05042085703673596,0,0.002,12482384
0,0.9380200364349925,0.09218014579522844,0,0.002,20407446
0,0.16581745068640974,0.01913477371995841,0,0.002,3859952
0,0.2011266395411646,0.07934394329176464,0,0.002,17661928
0,0.5922503800234273,0.0595607811870191,0,0.002,14482907
0,0.48710519254070517,0.012912425551271124,0,0.002,2452022
