,holding_id,destination,distance,originID,destID,size_origin,size_destination
544,35133395,35331014,9890,57,76,344,361
545,35133336,35331014,8229,58,76,1870,361
546,35133314,35331014,8405,60,76,994,361
547,35133026,35331014,5051,61,76,130,361
548,35133339,35331014,12808,62,76,223,361
549,35331018,35331014,2665,63,76,103,361
550,35331067,35331014,1845,64,76,184,361
551,35133170,35331014,12231,66,76,137,361
552,35133293,35331014,4860,67,76,193,361
553,35133227,35331014,10752,68,76,23,361
554,35133372,35331014,9188,69,76,128,361
555,35133418,35331014,11638,70,76,5,361
556,35340141,35331014,11597,71,76,192,361
557,35340079,35331014,10323,72,76,260,361
558,35133038,35331014,12725,73,76,469,361
559,35133340,35331014,10491,74,76,271,361
560,35133033,35331014,9530,75,76,450,361
561,35331014,35331014,0,76,76,361,361
562,35133346,35331014,10487,80,76,489,361
563,35133046,35331014,9667,81,76,106,361
564,35188048,35331014,8287,82,76,10,361
565,35305165,35331014,13146,83,76,236,361
566,35133364,35331014,11845,85,76,180,361
567,35133039,35331014,8636,86,76,284,361
568,35133012,35331014,7026,88,76,74,361
569,35133200,35331014,5843,89,76,305,361
570,35133254,35331014,5461,90,76,161,361
571,35133165,35331014,6179,92,76,13,361
572,35331010,35331014,819,93,76,237,361
573,35133389,35331014,11177,95,76,291,361
574,35133355,35331014,5323,96,76,17,361
575,35331005,35331014,3478,97,76,129,361
576,35133344,35331014,11837,98,76,87,361
577,35133394,35331014,11865,99,76,333,361
578,35340078,35331014,9886,101,76,301,361
579,35133049,35331014,8382,102,76,219,361
580,35331089,35331014,4565,103,76,3,361
581,35133379,35331014,11291,104,76,519,361
582,35331095,35331014,2162,105,76,3,361
583,35133331,35331014,11198,106,76,162,361
584,35331004,35331014,1789,107,76,267,361
585,35133058,35331014,13334,108,76,169,361
586,35340012,35331014,8083,109,76,640,361
587,35133009,35331014,12138,110,76,237,361
588,35133390,35331014,8295,111,76,103,361
589,35133081,35331014,12054,112,76,1,361
590,35133387,35171235,14393,0,13,2,517
591,35171272,35171235,2434,2,13,85,517
592,35171134,35171235,2938,4,13,213,517
593,35133024,35171235,14829,5,13,126,517
594,35133089,35171235,12690,6,13,160,517
595,35133186,35171235,13480,7,13,309,517
596,35171192,35171235,1962,11,13,69,517
597,35171235,35171235,0,13,13,517,517
598,35171135,35171235,1076,17,13,126,517
599,35133229,35171235,14829,19,13,101,517
600,35133029,35171235,13074,22,13,590,517
601,35171048,35171235,3594,31,13,251,517
602,35171060,35171235,2330,32,13,800,517
603,35133044,35171235,13657,34,13,146,517
604,35171240,35171235,1074,42,13,283,517
605,35171267,35171235,3184,43,13,101,517
606,35171063,35171235,2610,45,13,273,517
607,35171038,35171235,1561,46,13,167,517
608,35133075,35171235,14620,47,13,210,517
609,35171193,35171235,2034,55,13,211,517
610,35171020,35171235,380,59,13,2,517
611,35133339,35171235,13154,62,13,223,517
612,35171208,35171235,4289,65,13,107,517
613,35133170,35171235,11920,66,13,137,517
614,35133227,35171235,13497,68,13,23,517
615,35133418,35171235,12425,70,13,5,517
616,35133038,35171235,14350,73,13,469,517
617,35133340,35171235,13584,74,13,271,517
618,35171250,35171235,4341,77,13,196,517
619,35171008,35171235,3039,78,13,214,517
620,35171159,35171235,575,79,13,1031,517
621,35133346,35171235,14581,80,13,489,517
622,35171241,35171235,2200,84,13,840,517
623,35133364,35171235,14392,85,13,180,517
624,35171160,35171235,3664,87,13,284,517
625,35171056,35171235,1240,91,13,1,517
626,35171283,35171235,1962,94,13,150,517
627,35171107,35171235,2034,100,13,174,517
628,35133379,35171235,12806,104,13,519,517
629,35133331,35171235,13908,106,13,162,517
630,35133058,35171235,14387,108,13,169,517
631,35133009,35171235,13972,110,13,237,517
632,35133081,35171235,11989,112,13,1,517
633,35133387,35133379,1588,0,104,2,519
634,35331013,35133379,10890,1,104,88,519
635,35171272,35133379,11447,2,104,85,519
636,35171134,35133379,10386,4,104,213,519
637,35133024,35133379,2257,5,104,126,519
638,35133089,35133379,629,6,104,160,519
639,35133186,35133379,4291,7,104,309,519
640,35133375,35133379,6567,8,104,211,519
641,35331130,35133379,11468,9,104,64,519
642,35133382,35133379,7879,10,104,265,519
643,35171192,35133379,11068,11,104,69,519
644,35133356,35133379,10925,12,104,74,519
645,35171235,35133379,12806,13,104,517,519
646,35331008,35133379,13411,15,104,150,519
647,35133061,35133379,5839,16,104,34,519
648,35171135,35133379,11736,17,104,126,519
649,35133371,35133379,3561,18,104,258,519
650,35133229,35133379,2257,19,104,101,519
651,35133220,35133379,3521,20,104,121,519
652,35133057,35133379,10812,21,104,322,519
653,35133029,35133379,7942,22,104,590,519
654,35331036,35133379,10218,23,104,9,519
655,35133048,35133379,10812,24,104,1181,519
656,35331082,35133379,12320,25,104,152,519
657,35133380,35133379,6414,26,104,250,519
658,35188007,35133379,6681,27,104,102,519
659,35331077,35133379,7635,28,104,221,519
660,35331028,35133379,8756,29,104,6,519
